ID,crisis_behav_media_post_exercise,crisis_mood_states_pre_fatigue,crisis_behav_media_post_tv_media,crisis_behav_media_pre_hours_sleep_weekdays,crisis_mood_states_post_relaxed_vs_anxious,crisis_life_changes_time_outside_home,crisis_life_changes_stress_friend_change,crisis_life_changes_stress_cancellation,crisis_mood_states_post_fatigue,crisis_mood_states_pre_focus,crisis_behav_media_post_bed_weekdays,crisis_mood_states_post_focus,crisis_behav_media_post_videogames,crisis_mood_states_pre_worry,crisis_behav_media_pre_exercise,crisis_covid_worries_others,crisis_mood_states_pre_loneliness,crisis_life_changes_stress_family_change,crisis_life_changes_financial_difficulty,crisis_mood_states_pre__relaxed_vs_anxious,crisis_mood_states_post_negative_thougths,crisis_mood_states_pre_negative_thoughts,crisis_behav_media_pre_bed_weekends,crisis_covid_impact_job_loss,crisis_mood_states_pre_enjoy_activities,crisis_mood_states_post_happy_vs_sad,crisis_behav_media_pre_time_outdoor,crisis_mood_states_pre_happy_vs_sad,crisis_behav_media_pre_hours_sleep_weekends,crisis_behav_media_pre_social_media,crisis_life_changes_stress_stay_at_home,crisis_mood_states_post_irritability,crisis_life_changes_freq_outside_contacts,crisis_mood_states_pre_fidget,crisis_covid_worries_physical,crisis_behav_media_pre_tv_media,crisis_life_changes_difficulty_distancing,crisis_mood_states_post_worry,crisis_behav_media_pre_videogames,crisis_covid_worries_self,crisis_mood_states_pre_irritability,crisis_covid_worries_mental,crisis_life_changes_in_person_conversation,crisis_behav_media_post_bed_weekends,crisis_mood_states_post_fidget,crisis_life_changes_food_insecurity,crisis_behav_media_pre_bed_weekdays,crisis_life_changes_fam_relationship,crisis_covid_impact_school_closed,crisis_behav_media_post_hours_sleep_weekend,crisis_covid_worries_positive_changes,crisis_mood_states_post_enjoy_activities,crisis_behav_media_post_hours_sleep_weekdays,crisis_behav_media_post_social_media,crisis_life_changes_friend_relationship,crisis_covid_worries_reading,crisis_behav_media_post_time_outdoor,crisis_life_changes_houing_instability,crisis_mood_states_post_loneliness,crisis_life_changes_covid_worries_hopefully_end
d388fcc5,3.0,1.0,4.0,2.0,3.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,,5.0,3.0,5.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,4.0,1.0,3.0
d392467e,1.0,1.0,3.0,2.0,4.0,2.0,1.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,,4.0,3.0,5.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,1.0,5.0,0.0,4.0,3.0,0.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0
d3aac7ff,1.0,2.0,4.0,1.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,4.0,1.0,5.0,2.0,3.0,3.0,2.0,4.0,0.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,3.0,1.0,2.0,5.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,,1.0,1.0,1.0,1.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0
d3ca19bf,4.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,,3.0,4.0,1.0,3.0,2.0,3.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,1.0,5.0,3.0,5.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0
d3d2c8c8,1.0,3.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,2.0,2.0,5.0,1.0,3.0,5.0,4.0,3.0,2.0,4.0,,4.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,5.0,3.0,5.0,3.0,3.0,4.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,5.0,4.0,4.0,2.0,1.0,4.0,1.0
d3ef8798,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,3.0,2.0,3.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,5.0,3.0,3.0,2.0,1.0,1.0,4.0
d401b3c5,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,5.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,4.0,4.0,2.0,2.0,3.0
d409dd0c,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,5.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,0.0,3.0,2.0,0.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0
d40d550f,2.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,0.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,5.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0
d44a8505,2.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,1.0,2.0,3.0,4.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,5.0,4.0,4.0,0.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0
d455af79,3.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,,2.0,3.0,5.0,3.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,5.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,5.0,2.0,,1.0
d45aa872,1.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,,4.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,0.0,4.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0
d46c9675,1.0,3.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,5.0,3.0,1.0,5.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,4.0,1.0,0.0,3.0,3.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0
d4778d35,2.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,10.0,2.0,3.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,2.0
d479e363,2.0,3.0,3.0,2.0,4.0,2.0,4.0,5.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,0.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,3.0,5.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0
d4941425,5.0,3.0,3.0,2.0,2.0,5.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,,1.0,,3.0,2.0,2.0,,4.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,0.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,3.0
d4bd0715,5.0,2.0,3.0,2.0,4.0,5.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,,4.0,4.0,5.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,5.0,1.0,1.0,1.0
d4edda71,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,,5.0,4.0,2.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,1.0,2.0
d510ff69,2.0,1.0,5.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,5.0,1.0,4.0,1.0,2.0,3.0,3.0,3.0,,4.0,3.0,2.0,2.0,2.0,3.0,5.0,3.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,5.0,3.0,5.0,1.0,1.0,1.0,5.0
d533260c,1.0,3.0,5.0,2.0,5.0,1.0,4.0,4.0,5.0,2.0,2.0,5.0,5.0,1.0,3.0,5.0,2.0,5.0,3.0,1.0,4.0,2.0,2.0,0.0,5.0,5.0,3.0,2.0,2.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,1.0,5.0,2.0,5.0,1.0,5.0,0.0,2.0,5.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,5.0,1.0,2.0,4.0,4.0
d57fa43c,3.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,3.0,,3.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0
d5849e57,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,0.0,4.0,2.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,2.0,1.0,3.0,2.0
d58b0dfd,5.0,1.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,,4.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,5.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,10.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,5.0,3.0,2.0,5.0,1.0,4.0,3.0
d58f1a14,3.0,2.0,3.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,0.0,2.0,3.0,1.0,3.0,1.0,5.0,3.0,2.0,4.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,2.0,2.0,29.0,4.0,2.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0
d59ade8d,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,4.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,0.0,3.0,5.0,2.0,1.0,3.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0
d5a25927,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,7.0,4.0,2.0,0.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0
d5a400b3,2.0,1.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,0.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,3.0,5.0,1.0,5.0,1.0,4.0,2.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0
d5b5b19c,1.0,2.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,5.0,2.0,4.0,4.0,1.0,3.0,4.0,1.0,5.0,3.0,2.0,3.0,2.0,1.0,3.0,6.0,4.0,4.0,0.0,2.0,3.0,2.0,2.0,1.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,4.0
d5b9adaf,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0
d5cc987b,4.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,,5.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,3.0
d5eb8692,2.0,4.0,3.0,2.0,5.0,2.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,,2.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,10.0,4.0,2.0,1.0,4.0,5.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,5.0,1.0,2.0
d639b2ca,2.0,2.0,5.0,3.0,5.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,2.0,,2.0,1.0,2.0,2.0,3.0,1.0,3.0,5.0,2.0,3.0,4.0,4.0,1.0,5.0,5.0,3.0,4.0,5.0,0.0,3.0,5.0,0.0,2.0,3.0,2.0,4.0,1.0,2.0,4.0,1.0,3.0,4.0,2.0,5.0,3.0,1.0
d64ea76e,5.0,3.0,3.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,2.0,2.0,4.0
d658949a,3.0,1.0,4.0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,,4.0,4.0,5.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,0.0,4.0,3.0,0.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0
d65c39f2,1.0,1.0,4.0,3.0,4.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,,4.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,3.0
d67558dc,2.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,1.0,2.0,4.0,4.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,,5.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,5.0,1.0,4.0,3.0,2.0,3.0,1.0,4.0,1.0,2.0,8.0,4.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,3.0,2.0,2.0,1.0
d679a772,3.0,3.0,4.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,5.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,5.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,2.0,5.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0
d67d1b73,4.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,,4.0,2.0,5.0,2.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,5.0,2.0,1.0,1.0
