,crisis_covid_impact_school_closed,crisis_life_changes_in_person_conversation,crisis_life_changes_time_outside_home,crisis_life_changes_stress_stay_at_home,crisis_life_changes_freq_outside_contacts,crisis_life_changes_difficulty_distancing,crisis_life_changes_fam_relationship,crisis_life_changes_stress_family_change,crisis_life_changes_friend_relationship,crisis_life_changes_stress_friend_change,crisis_life_changes_stress_cancellation,crisis_life_changes_financial_difficulty,crisis_life_changes_houing_instability,crisis_life_changes_food_insecurity,crisis_life_changes_covid_worries_hopefully_end,crisis_covid_impact_job_loss
s071,,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1,0,1,0
s072,,2.0,2.0,2.0,5.0,1.0,5.0,1.0,4.0,1.0,1.0,2.0,1,1,2,
s074,,3.0,5.0,4.0,2.0,4.0,3.0,1.0,4.0,1.0,3.0,2.0,0,0,4,0
s075,,2.0,4.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,0,0,2,
s076,1.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,0,0,1,0
s078,,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,0,0,1,
s079,,2.0,3.0,3.0,1.0,5.0,3.0,2.0,3.0,2.0,1.0,1.0,0,0,2,
s080,,2.0,3.0,4.0,5.0,3.0,5.0,2.0,2.0,3.0,4.0,3.0,0,0,1,1
s081,,2.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1,0,3,
s082,,2.0,3.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,1.0,5.0,2,1,1,
s084,1.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,3.0,1.0,5.0,2.0,1,0,5,
s085,,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2,0,2,0
s086,,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,0,0,4,
s087,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0,0,4,0
s088,,1.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,1,0,1,
s089,,3.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0,0,4,0
s090,,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,0,0,3,
s091,,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,0,0,2,
s092,,3.0,5.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,0,0,4,0
s093,,3.0,4.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,0,0,2,
s094,,2.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0,0,3,
s095,,2.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1,0,1,0
s096,,3.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2,1,5,
s097,,2.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,0,0,3,
s098,,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1,0,2,
s099,,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,3,0,2,
s100,,1.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3,0,5,0
s101,,3.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,0,0,3,0
s102,,3.0,4.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,0,0,5,0
s103,,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,0,0,5,
s104,,1.0,1.0,4.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,4,1,1,
s107,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1,0,1,
s108,,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1,0,1,
s109,,3.0,5.0,1.0,3.0,5.0,3.0,1.0,3.0,1.0,1.0,2.0,0,0,3,
s111,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,5.0,4.0,1.0,0,0,2,
s113,,1.0,2.0,2.0,3.0,2.0,1.0,5.0,3.0,1.0,1.0,1.0,2,0,3,0
s114,,2.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,1,0,3,
s115,,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,1,0,3,0
s116,,2.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1,0,4,
s117,,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,0,0,2,
s118,,2.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,0,0,4,
s119,,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,3,0,5,
s120,,2.0,3.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,1.0,0,0,2,0
s121,,3.0,3.0,2.0,1.0,3.0,4.0,1.0,4.0,1.0,2.0,1.0,1,0,4,0
s123,,2.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,0,0,2,
s124,,1.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,4.0,2,1,4,
s125,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,1,0,5,
s126,,1.0,1.0,2.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,0,0,1,0
s127,,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,0,0,2,
s128,,3.0,5.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,0,0,4,0
s129,,3.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,3.0,2,0,4,0
s130,,2.0,2.0,3.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,2,1,2,
s131,,2.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1,0,2,
s134,,3.0,2.0,3.0,5.0,2.0,4.0,2.0,4.0,3.0,2.0,4.0,3,1,5,0
s136,,1.0,1.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,4,0,4,
